Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
4,386,780,601,1.316,0.658,-131073
4,387,773,594,1.277,0.639,-459521
4,388,768,590,0.826,0.413,-257
4,389,758,592,1.316,0.658,-66049
4,390,741,587,2.286,1.143,-1
4,391,718,585,2.978,1.489,-1
4,392,707,587,1.442,0.721,-1
4,393,692,587,1.935,0.968,-1
4,394,687,584,0.752,0.376,-1
4,395,681,583,0.785,0.392,-1
4,396,636,577,5.856,2.928,-519
4,397,540,575,12.387,6.193,-1
4,398,518,580,2.910,1.455,-1
4,399,453,550,9.235,4.617,-1
4,400,330,409,24.137,12.069,-1
4,401,325,390,2.534,1.267,-1
4,402,319,377,1.847,0.923,-65794
4,403,318,358,2.454,1.227,-131073
4,404,320,349,1.189,0.595,-1
4,405,324,337,1.632,0.816,-1
4,406,326,325,1.569,0.785,-1
4,407,333,306,2.612,1.306,-257
4,408,342,296,1.736,0.868,-1
4,409,355,285,2.197,1.098,-1
4,410,363,276,1.553,0.777,-1
4,411,374,267,1.833,0.917,-1
4,412,389,256,2.400,1.200,-1
4,413,410,245,3.058,1.529,-1
4,414,424,238,2.019,1.010,-1
4,415,438,231,2.019,1.010,-1
4,416,454,223,2.308,1.154,-1
4,417,472,215,2.541,1.271,-1
4,418,583,203,14.402,7.201,-1
4,419,614,194,4.164,2.082,-1
4,420,657,196,5.553,2.776,-1
4,421,694,201,4.816,2.408,-1
4,422,731,221,5.426,2.713,-1
4,423,790,249,8.425,4.212,-14781269
4,424,811,265,3.406,1.703,-257
4,425,795,324,7.886,3.943,-1
4,426,803,374,6.532,3.266,-66049
4,427,785,394,3.471,1.736,-516
4,428,778,389,1.110,0.555,-1
4,429,768,399,1.824,0.912,-1
4,430,768,399,0.000,0.000,-1
4,431,768,399,0.000,0.000,-721665
4,432,758,406,1.575,0.787,-257
4,433,758,405,0.129,0.065,-1
4,434,754,403,0.577,0.288,-131073
4,435,746,404,1.040,0.520,-131073
4,436,746,404,0.000,0.000,-1
4,437,703,423,6.064,3.032,-327681
4,438,689,427,1.878,0.939,-1
4,439,681,430,1.102,0.551,-257
4,440,675,432,0.816,0.408,-1
4,441,664,436,1.510,0.755,-1
4,442,660,438,0.577,0.288,-1
4,443,626,440,4.394,2.197,-1
4,444,613,439,1.682,0.841,-131073
4,445,599,449,2.219,1.110,-1
4,446,573,470,4.311,2.156,-265
4,447,569,473,0.645,0.323,-1
4,448,554,484,2.400,1.200,-257
4,449,540,492,2.080,1.040,-1
4,450,510,512,4.651,2.326,-1
4,451,496,520,2.080,1.040,-1
4,452,483,529,2.040,1.020,-6704184
4,453,474,534,1.328,0.664,-1
4,454,465,538,1.271,0.635,-257
4,455,411,566,7.847,3.923,-1
4,456,384,599,5.500,2.750,-1
4,457,367,616,3.101,1.551,-1
4,458,341,628,3.694,1.847,-1
4,459,306,659,6.031,3.016,-1025
4,460,293,657,1.697,0.848,-5916729
4,461,264,676,4.472,2.236,-259
4,462,248,686,2.434,1.217,-65794
4,463,248,688,0.258,0.129,-131073
4,464,262,702,2.554,1.277,-131073
4,465,274,718,2.580,1.290,-1
4,466,287,727,2.040,1.020,-1
4,467,295,735,1.459,0.730,-257
4,468,306,742,1.682,0.841,-1
4,469,313,747,1.110,0.555,-1638401
4,470,325,751,1.632,0.816,-1
4,471,341,760,2.368,1.184,-513
4,472,347,763,0.865,0.433,-131073
4,473,361,773,2.219,1.110,-1
4,474,370,779,1.395,0.698,-1
4,475,399,790,4.001,2.001,-8215361
4,476,413,797,2.019,1.010,-1
4,477,433,806,2.829,1.415,-1
4,478,439,806,0.774,0.387,-1
4,479,453,808,1.824,0.912,-1
4,480,473,809,2.583,1.292,-1
4,481,488,810,1.939,0.970,-13732701
4,482,499,812,1.442,0.721,-257
4,483,598,783,13.308,6.654,-1
4,484,640,777,5.473,2.737,-1
4,485,681,771,5.345,2.673,-1
4,486,695,767,1.878,0.939,-1
4,487,712,758,2.481,1.241,-1
4,488,727,748,2.326,1.163,-9724225
4,489,737,739,1.736,0.868,-65794
4,490,749,729,2.015,1.008,-1
4,491,771,703,4.394,2.197,-2
4,492,774,700,0.547,0.274,-257
4,493,788,681,3.045,1.522,-131075
4,494,792,660,2.758,1.379,-131073
4,495,793,640,2.583,1.292,-1
4,496,786,627,1.905,0.952,-1
4,497,786,622,0.645,0.323,-131075
4,498,789,615,0.982,0.491,-65796
4,499,789,613,0.258,0.129,-257
4,500,779,611,1.316,0.658,-257
4,501,768,608,1.471,0.735,-1
